,Product Name,Product Image Link,Brand,Price,Url
0,Striped Cotton Blend Regular Fit Mens T-Shirt - White,https://sslimages.shoppersstop.com/sys-master/images/hc3/h38/16456068595742/S21187STRPLO04_WHITE.jpg_230Wx334H,STOP,Rs 559,https://www.shoppersstop.com/stop-striped-cotton-blend-regular-fit-mens-t-shirt/p-S21187STRPLO04/colorChange/S21187STRPLO04_WHITE
1,Solid Regular Fit Mens Shirt - Blue,https://sslimages.shoppersstop.com/sys-master/images/h98/h48/15015483310110/206550243_BLUE.jpg_230Wx334H,FCUK,Rs 879,https://www.shoppersstop.com/fcuk-solid-regular-fit-mens-shirt/p-206550243/colorChange/206550243_BLUE
2,Printed Cotton Regular Fit Mens T-Shirt - Red,https://sslimages.shoppersstop.com/sys-master/images/h6f/h60/17095479001118/SS21JJ256475801_RED.jpg_230Wx334H,JACK AND JONES, Rs 899,https://www.shoppersstop.com/jack-and-jones-printed-cotton-regular-fit-mens-t-shirt/p-SS21JJ256475801/colorChange/SS21JJ256475801_RED
3,Solid Cotton Mens Casual Kurta - Black,https://sslimages.shoppersstop.com/sys-master/images/h0c/he9/17141063221278/S21MENKURSLMPKT_BLACK.jpg_230Wx334H,BANDEYA, Rs 999,https://www.shoppersstop.com/bandeya-solid-cotton-mens-casual-kurta/p-S21MENKURSLMPKT/colorChange/S21MENKURSLMPKT_BLACK
4,Solid Cotton Regular Fit Mens Shirt - Olive,https://sslimages.shoppersstop.com/sys-master/images/he8/hc1/16353853079582/S21UDSHT0007_OLIVE.jpg_230Wx334H,U.S. POLO ASSN. DENIM,Rs 1539,https://www.shoppersstop.com/u-s-polo-assn-denim-solid-cotton-regular-fit-mens-shirt/p-S21UDSHT0007/colorChange/S21UDSHT0007_OLIVE
5,Solid Cotton Slim Fit Mens T-Shirt - Red,https://sslimages.shoppersstop.com/sys-master/images/h21/h3a/16537129844766/S21T-01BA-039RE_RED.jpg_230Wx334H,SPYKAR,Rs 599,https://www.shoppersstop.com/spykar-solid-cotton-slim-fit-mens-t-shirt/p-S21T-01BA-039RE/colorChange/S21T-01BA-039RE_RED
6,Mens Solid Trunks - Pack of 2 - Black,https://sslimages.shoppersstop.com/sys-master/images/hcb/h96/17189072273438/A21182TR01BK1AN_BLACK.jpg_230Wx334H,STOP,Rs 249,https://www.shoppersstop.com/stop-mens-solid-trunks-pack-of-2/p-A21182TR01BK1AN/colorChange/A21182TR01BK1AN_BLACK
7,Stripes Cotton Regular Fit Mens T-Shirt - Blue,https://sslimages.shoppersstop.com/sys-master/images/hb5/h54/16732802351134/S21123TS00920CO_BLUE.jpg_230Wx334H,INDIAN TERRAIN, Rs 1499,https://www.shoppersstop.com/indian-terrain-stripes-cotton-regular-fit-mens-t-shirt/p-S21123TS00920CO/colorChange/S21123TS00920CO_BLUE
8,Solid Poly Cotton Mens Festive Wear Kurta - Blue,https://sslimages.shoppersstop.com/sys-master/images/h07/h9f/17248057458718/A21SULFKURLK-27_BLUE.jpg_230Wx334H,BANDEYA, Rs 1299,https://www.shoppersstop.com/bandeya-solid-poly-cotton-mens-festive-wear-kurta/p-A21SULFKURLK-27/colorChange/A21SULFKURLK-27_BLUE
9,Printed Cotton Mens Occasion Wear Kurta Set - White,https://sslimages.shoppersstop.com/sys-master/images/h7a/hb1/17339123826718/A21HGK45KURTA_WHITE.jpg_230Wx334H,HANGUP,Rs 899,https://www.shoppersstop.com/hangup-printed-cotton-mens-occasion-wear-kurta-set/p-A21HGK45KURTA/colorChange/A21HGK45KURTA_WHITE
10,Stripes Cotton Slim Fit Mens Casual Shirt - Pink,https://sslimages.shoppersstop.com/sys-master/images/h10/h04/17366073933854/A21MSH02BA294PI_PINK.jpg_230Wx334H,SPYKAR,Rs 1784,https://www.shoppersstop.com/spykar-stripes-cotton-slim-fit-mens-casual-shirt/p-A21MSH02BA294PI/colorChange/A21MSH02BA294PI_PINK
11,Checks Cotton Regular Fit Mens Kurta - White,https://sslimages.shoppersstop.com/sys-master/images/h2b/hed/16563355025438/S21METHKUPALWH1_WHITE.jpg_230Wx334H,STOP,Rs 1189,https://www.shoppersstop.com/stop-checks-cotton-regular-fit-mens-kurta/p-S21METHKUPALWH1/colorChange/S21METHKUPALWH1_WHITE
12,Colour Block Cotton Regular Fit Mens T-Shirt - Navy,,LEE, Rs 1199,https://www.shoppersstop.com/lee-colour-block-cotton-regular-fit-mens-t-shirt/p-S21L40462CB0Y06/colorChange/S21L40462CB0Y06_NAVY_BLUE
13,Printed Cotton Mens Occasion Wear Kurta Set - Multi,,HANGUP,Rs 1899,https://www.shoppersstop.com/hangup-printed-cotton-mens-occasion-wear-kurta-set/p-A21HGK50N12BASK/colorChange/A21HGK50N12BASK_MULTI
14,Checks Cotton Lycra Slim Fit Mens Casual Shirt - White,,INDIAN TERRAIN, Rs 1799,https://www.shoppersstop.com/indian-terrain-checks-cotton-lycra-slim-fit-mens-casual-shirt/p-S21123SH03176WH/colorChange/S21123SH03176WH_WHITE
15,Solid Cotton Lycra Zip Closure Mens Shorts - Grey,,LIFE,Rs 839,https://www.shoppersstop.com/life-solid-cotton-lycra-zip-closure-mens-shorts/p-S21509DODSH1/colorChange/S21509DODSH1_GREY
16,Dark Wash Mens Jeans - Blue,,FCUK,Rs 1319,https://www.shoppersstop.com/fcuk-dark-wash-mens-jeans/p-206550279/colorChange/206550279_BLUE
17,Solid Cotton Slim Fit Mens Shirt - Light Blue,,LIFE,Rs 899,https://www.shoppersstop.com/life-solid-cotton-slim-fit-mens-shirt/p-S21509MANDCORLB/colorChange/S21509MANDCORLB_LIGHT_BLUE
18,Dark Tone Wash Cotton Stretch Slim Fit Mens Jeans - Brown,,LEE, Rs 3599,https://www.shoppersstop.com/lee-dark-tone-wash-cotton-stretch-slim-fit-mens-jeans/p-S21L40017248147/colorChange/S21L40017248147_BROWN
19,Printed Cotton Regular Fit Mens T-Shirt - Coral,,LIFE,Rs 419,https://www.shoppersstop.com/life-printed-cotton-regular-fit-mens-t-shirt/p-S21183RNP456C/colorChange/S21183RNP456C_CORAL
20,Solid Linen Cotton Regular Fit Mens Shirt - White,,LIFE,Rs 899,https://www.shoppersstop.com/life-solid-linen-cotton-regular-fit-mens-shirt/p-S21183LIMAN05WH/colorChange/S21183LIMAN05WH_WHITE
21,Dark Tone Wash Denim Skinny Fit Mens Jeans - Green,,REALM,Rs 702,https://www.shoppersstop.com/realm-dark-tone-wash-denim-skinny-fit-mens-jeans/p-S21RLD1910GRE/colorChange/S21RLD1910GRE_GREEN
22,Solid Cotton Mens Vest - White,,JOCKEY, Rs 478,https://www.shoppersstop.com/jockey-solid-cotton-mens-vest/p-3989450/colorChange/3989450_WHITE
23,Checks Cotton Slim Fit Mens Shirt - Mid Blue,,LIFE,Rs 899,https://www.shoppersstop.com/life-checks-cotton-slim-fit-mens-shirt/p-S21509E5CHFSBL/colorChange/S21509E5CHFSBL_MID_BLUE
24,Solid Cotton Stretch Mens Trunks - Multi,,CALVIN KLEIN UNDERWEAR,Rs 1999,https://www.shoppersstop.com/calvin-klein-underwear-solid-cotton-stretch-mens-trunks/p-AW0CKU2664998/colorChange/AW0CKU2664998_MULTI
25,Stripes Cotton Blend Regular Fit Mens T-Shirt - Natural,https://sslimages.shoppersstop.com/sys-master/images/h41/hf6/17025536458782/A21DK2700BEG_BEIGE.jpg_230Wx334H,DUKE,Rs 573,https://www.shoppersstop.com/duke-stripes-cotton-blend-regular-fit-mens-t-shirt/p-A21DK2700BEG/colorChange/A21DK2700BEG_BEIGE
26,Checks Cotton Slim Fit Mens Shirt - Mid Blue,https://sslimages.shoppersstop.com/sys-master/images/h0d/h4c/16162580725790/S21509E5CHFSBL_MID_BLUE.jpg_230Wx334H,LIFE,Rs 899,https://www.shoppersstop.com/life-checks-cotton-slim-fit-mens-shirt/p-S21509E5CHFSBL/colorChange/S21509E5CHFSBL_MID_BLUE
27,Solid Cotton Stretch Slim Fit Mens Trousers - Navy,https://sslimages.shoppersstop.com/sys-master/images/h5d/h0f/16404473380894/S21181C011SHNV_NAVY.jpg_230Wx334H,STOP,Rs 1189,https://www.shoppersstop.com/stop-solid-cotton-stretch-slim-fit-mens-trousers/p-S21181C011SHNV/colorChange/S21181C011SHNV_NAVY
28,Mid Tone Cotton Stretch Tapered Fit Mens Jeans - Blue,https://sslimages.shoppersstop.com/sys-master/images/h1f/h62/16353852358686/S21UDJEN0053_BLUE.jpg_230Wx334H,U.S. POLO ASSN. DENIM,Rs 2239,https://www.shoppersstop.com/u-s-polo-assn-denim-mid-tone-cotton-stretch-tapered-fit-mens-jeans/p-S21UDJEN0053/colorChange/S21UDJEN0053_BLUE
29,Checks Cotton Super Slim Fit Mens Shirt - Maroon,https://sslimages.shoppersstop.com/sys-master/images/hb3/hf0/16589193805854/206837761_MAROON.jpg_230Wx334H,LOUIS PHILIPPE SPORTS,Rs 1259,https://www.shoppersstop.com/louis-philippe-sports-checks-cotton-super-slim-fit-mens-shirt/p-206837761/colorChange/206837761_MAROON
30,Solid Cotton Regular Fit Mens Casual Shirt - White,https://sslimages.shoppersstop.com/sys-master/images/hca/h0d/16978232475678/A20-4201-SH-698_WHITE.jpg_230Wx334H,LEE COOPER,Rs 1099,https://www.shoppersstop.com/lee-cooper-solid-cotton-regular-fit-mens-casual-shirt/p-A20-4201-SH-698/colorChange/A20-4201-SH-698_WHITE
31,Checks Cotton Super Slim Fit Mens Shirt - Navy,https://sslimages.shoppersstop.com/sys-master/images/h72/haf/16590920253470/206837760_NAVY_BLUE.jpg_230Wx334H,LOUIS PHILIPPE SPORTS,Rs 1329,https://www.shoppersstop.com/louis-philippe-sports-checks-cotton-super-slim-fit-mens-shirt/p-206837760/colorChange/206837760_NAVY_BLUE
32,Mid Tone Wash Cotton Slim Fit Mens Jeans - Blue,https://sslimages.shoppersstop.com/sys-master/images/h9e/h65/17268596965406/A21LCM-134MID_BLUE.jpg_230Wx334H,LEE COOPER, Rs 2799,https://www.shoppersstop.com/lee-cooper-mid-tone-wash-cotton-slim-fit-mens-jeans/p-A21LCM-134MID/colorChange/A21LCM-134MID_BLUE
33,Printed Cotton Stretch Slim Fit Mens Trousers - Blue,https://sslimages.shoppersstop.com/sys-master/images/h35/h80/16607346884638/S21123TR00694IN_BLUE.jpg_230Wx334H,INDIAN TERRAIN, Rs 1999,https://www.shoppersstop.com/indian-terrain-printed-cotton-stretch-slim-fit-mens-trousers/p-S21123TR00694IN/colorChange/S21123TR00694IN_BLUE
34,Mens Slim Fit Checks Cutaway Collar Casual Shirt - Maroon,https://sslimages.shoppersstop.com/sys-master/images/h08/h83/16084838776862/S21VFSHC14AGMMR_MAROON.jpg_230Wx334H,FRATINI,Rs 899,https://www.shoppersstop.com/fratini-mens-slim-fit-checks-cutaway-collar-casual-shirt/p-S21VFSHC14AGMMR/colorChange/S21VFSHC14AGMMR_MAROON
35,Mid Tone Cotton Straight Fit Mens Jeans - Blue,https://sslimages.shoppersstop.com/sys-master/images/h95/h33/16625765482526/S21CR56BLU_BLUE.jpg_230Wx334H,LEE COOPER,Rs 1539,https://www.shoppersstop.com/lee-cooper-mid-tone-cotton-straight-fit-mens-jeans/p-S21CR56BLU/colorChange/S21CR56BLU_BLUE
36,Mens Regular Fit Stripes Polo T-Shirt - White,https://sslimages.shoppersstop.com/sys-master/images/h6b/hb8/16100413505566/S21187STRPPO10_WHITE.jpg_230Wx334H,STOP,Rs 559,https://www.shoppersstop.com/stop-mens-regular-fit-stripes-polo-t-shirt/p-S21187STRPPO10/colorChange/S21187STRPPO10_WHITE
37,Solid Cotton Slim Fit Mens Shirt - Olive,,LIFE,Rs 899,https://www.shoppersstop.com/life-solid-cotton-slim-fit-mens-shirt/p-S21183CORETWOL/colorChange/S21183CORETWOL_OLIVE
38,Washed Cotton Lycra Slim Fit Mens Denim - Indigo,,INFUSE,Rs 999,https://www.shoppersstop.com/infuse-washed-cotton-lycra-slim-fit-mens-denim/p-A21INFDLF10/colorChange/A21INFDLF10_INDIGO
39,Printed Cotton Slim Fit Mens T-Shirt - Black,,FCUK,Rs 799,https://www.shoppersstop.com/fcuk-printed-cotton-slim-fit-mens-t-shirt/p-206550210/colorChange/206550210_BLACK
40,Mid Tone Cotton Straight Fit Mens Jeans - Black,,LEE COOPER,Rs 1399,https://www.shoppersstop.com/lee-cooper-mid-tone-cotton-straight-fit-mens-jeans/p-S21CR59BLA/colorChange/S21CR59BLA_BLACK
41,Solid Cotton Slim Fit Mens T-Shirt - Red,,FCUK,Rs 599,https://www.shoppersstop.com/fcuk-solid-cotton-slim-fit-mens-t-shirt/p-206550237/colorChange/206550237_RED
42,Printed Cotton Blend Mens Trunks - Multi,,JOCKEY, Rs 349,https://www.shoppersstop.com/jockey-printed-cotton-blend-mens-trunks/p-201561145/colorChange/201561145_ASSORTED
43,Washed Cotton Lycra Slim Fit Mens Denim - Mid Stone,,INFUSE,Rs 999,https://www.shoppersstop.com/infuse-washed-cotton-lycra-slim-fit-mens-denim/p-A21INFDLF08/colorChange/A21INFDLF08_MID_STONE
